detail_category,total
Higgs Domino,247
Lampu & Alat Penerangan,59
Kartu Perdana,41
Headset (Earphone),40
Tools,36
Perlengkapan Mandi,33
Pemutih Gigi,30
Vitamin,27
Charger,24
Herbal,23
Obat-Obatan Lainnya,15
Elektronik Lainnya,14
Mesin Bor,14
Produk Kesehatan Lainnya,14
Perkakas Rumah Tangga,12
Keju,12
Peralatan Cukur,11
Sprei & Bed Cover,11
Susu,10
Peralatan Masak Lainnya,10
Home Stuff,9
Headphone,9
Mesin Lainnya ,8
Power Bank,8
Hair Care,7
Shampo,7
Vacuum Cleaner,7
Speaker,7
Makanan,7
Games Lainnya,6
Mesin Potong ,5
Parfum Mobil,5
Keyboard,5
Bantal & Guling,5
Celana Olahraga,5
Industrial Lainnya,5
Spare Part & Tools Handphone,4
TV LCD/LED,4
Accue/Aki Motor,4
Mouse,4
Pembasmi Hama & Serangga,4
Celana Pendek,4
Bumbu Instan,4
Peralatan & Perkakas Mobil,3
Perlengkapan Outdoor,3
Ikat Pinggang,3
Mainan Lainnya,3
Kompor Induksi,3
Blender,3
Essential Oil,3
Remote Control,3
Obat Pencernaan & Penyakit Lainnya,3
Flashdisk,3
Kaldu & Penyedap,3
Smartwatch,3
Kacamata,3
Aksesoris Lainnya,3
Obat Kumur,3
Sikat,3
Mesin Kompresor,3
Media Player & Set Top Box,3
Makanan Hewan Peliharaan,2
Perawatan Rambut Wanita,2
Cemilan / Snack,2
Cokelat,2
Mesin Usaha,2
Vitamin & Suplemen,2
Arm Warmer,2
Aksesoris Interior,2
Coffee Maker,2
Aksesoris Motor Lainnya,2
Produk Kecantikan Lainnya,2
Kampas Rem,2
Mesin Las,2
Rice Cooker,2
Jam Tangan,2
Mie Instan,2
Selang Air,2
Oil & Fluids,2
Gloves,2
Baju Olahraga,2
Alat Pel,2
Minuman Kemasan Lainnya,1
Rok,1
Tempat Penyimpanan & Organizer,1
Dairy Products,1
Converter & Adapter,1
Masker & Pelindung Wajah,1
Deodorant,1
Jaket,1
Celana Panjang,1
Teropong,1
Filter,1
Jam Tangan Digital Pria,1
Alat Pelangsing,1
CCTV,1
AC,1
Kulkas,1
Sneaker Wanita,1
Dompet,1
Perawatan Kulit Wanita,1
Pembalut,1
Baterai,1
Gembok & Kunci Pengaman,1
Puding & Jelly,1
Selempang,1
Aksesoris Eksterior,1
Madu,1
Minuman,1
Alat Bantu Kesehatan,1
"Monopod, Tripod, & Rig",1
Cleaner & Detailing,1
Gunting,1
Energy Drink,1
"Perawatan Kaki, Tangan, dan Kuku",1
Mobile Legends,1
Aksesoris Olahraga,1
Pembersih Wajah Pria,1
Minyak Pijat,1
Kaos,1
Microwave,1
Aquarium & Aksesoris,1
Tiket & Voucher Lainnya,1
Head Unit,1
Kulkas & Showcase,1
Peralatan Makan & Minum,1
Juicer,1
Perlengkapan Studio,1
Aksesoris ,1
"Carrier, Hanger, & Bike stand",1
Mixer,1
Perlengkapan Bayi Lainnya,1
Makanan Instan Kaleng,1
Feeding & Nursing,1
Speedometer & Gauge,1
Puzzle,1
Kamar Mandi,1
Olahraga Lainnya,1
